#genome	domain	phylum	class	order	family	genus	species	total_length	unique_name
G000005825	Bacteria	 Firmicutes	 Bacilli	 Bacillales_H	 Bacillaceae_D	 Bacillus_S	 Bacillus_S pseudofirmus	4249288	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Bacillus_S; s__Bacillus_S pseudofirmus
G000006175	Archaea	 Methanobacteriota_A	 Methanococci	 Methanococcales	 Methanococcaceae	 Methanococcus	 Methanococcus voltae_A	1936387	d__Archaea; p__Methanobacteriota_A; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__Methanococcus voltae_A
G000006605	Bacteria	 Actinobacteriota	 Actinomycetia	 Mycobacteriales	 Mycobacteriaceae	 Corynebacterium	 Corynebacterium jeikeium	2476842	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium; s__Corynebacterium jeikeium
G000006725	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xylella	 Xylella fastidiosa	2731790	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Xylella; s__Xylella fastidiosa
G000006745	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Vibrionaceae	 Vibrio	 Vibrio cholerae	4033484	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Vibrionaceae; g__Vibrio; s__Vibrio cholerae
G000006785	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 Streptococcus pyogenes	1852433	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus pyogenes
G000006845	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Neisseriaceae	 Neisseria	 Neisseria gonorrhoeae	2153922	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria; s__Neisseria gonorrhoeae
G000006865	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Lactococcus	 Lactococcus lactis	2365589	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__Lactococcus lactis
G000006925	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia	 Escherichia coli	4828840	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia coli
G000006965	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Sinorhizobium	 Sinorhizobium meliloti	6691734	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Sinorhizobium; s__Sinorhizobium meliloti
G000006985	Bacteria	 Bacteroidota	 Chlorobia	 Chlorobiales	 Chlorobiaceae	 Chlorobaculum	 Chlorobaculum tepidum	2154946	d__Bacteria; p__Bacteroidota; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__Chlorobaculum tepidum
