taxid	total_length
336566	3374112
883067	2092357
441768	1496992
397290	5238929
1802252	1698683
1736343	3911581
1183379	1872235
1423781	1479955
1635287	1340747
1266765	4554266
1423811	2173857
1674832	2408387
1434103	4137337
1618906	687683
1817830	849155
1408832	1165454
1455061	3415676
1294273	3555109
1367846	1877407
637616	3047652
1703768	1116563
1226298	3017804
709839	5384605
545694	4059867
1805220	3659623
272560	6000000
513049	6000000
765952	3072383
457405	2514029
472175	3551806
1805208	791431
425104	5517674
1851191	4265366
474960	3178920
1618982	771743
1189619	3311768
1423812	2686405
1798525	962580
582680	4243179
1238182	4952465
1801701	3857978
1263014	1776627
1802357	2197232
283166	1931047
1690248	3851242
1798606	824587
1033731	3489612
261317	444925
1123315	2290936
1257039	1976204
477641	5575517
140626	2844447
1918504	2261550
582515	4153658
1855375	3206179
1618707	1375995
1797762	964213
1802725	775023
1648404	3226359
1051650	5839890
1679167	6000000
1454373	3715337
1262708	1401601
1125847	4577425
1802076	925264
1803425	1055261
1619015	962673
1088883	1895135
1117319	4718298
1797953	1730183
999898	5306296
595460	6000000
1599	3894334
1618353	899933
1265502	3532116
361041	4136371
1071085	2880902
1487921	3850950
1838285	1666081
1619069	735804
1802547	807181
1089446	2337628
714	2367908
1263007	1591401
1896990	2488784
447595	2264710
585198	2152970
1056807	2578695
1655310	1078468
979982	1877273
1423754	1826493
1817771	1972833
1802224	762385
1801627	2548000
1123366	4768950
764299	2234402
1805103	1075595
1121932	3269398
394098	3108079
1053189	5635174
1562970	2808926
1515613	1961776
507754	3525691
1303518	3437861
391593	3497325
1235990	1151074
1121285	4118409
1329411	2693486
1094954	752653
1123517	2108215
670482	5264638
519424	4347941
1797794	874849
1618478	1118955
1798294	1850420
596325	1688275
1541197	3310887
596151	4673595
1034347	4967913
500632	3995628
626939	2121954
216942	1225519
1619012	966110
1348625	3906163
1104324	2467972
1435356	5590512
1618400	674282
1123313	1992636
1802161	561287
1544718	3830759
281689	3828328
426368	1772694
1262953	2245400
1802305	978807
86102	5360213
755944	4358986
243277	4033464
146536	6000000
696747	6000000
613202	766829
1262909	3883274
28885	2618064
111611	4795982
1797771	797427
1629714	6000000
232363	2427308
1420591	3552733
1618753	779691
47839	6000000
1817841	809049
