#genome	total_length	unique_name
G000001985	28652885	Talaromyces marneffei
G000002415	27068631	Plasmodium vivax
G000002435	11215435	Giardia intestinalis
G000002495	40980161	Pyricularia oryzae
G000002515	10729567	Kluyveromyces lactis
G000002525	20551017	Yarrowia lipolytica
G000002545	12338568	[Candida] glabrata
G000002655	29385098	Aspergillus fumigatus
G000002715	27862281	Aspergillus clavatus
G000002725	32855789	Leishmania major
G000002765	23327152	Plasmodium falciparum
G000002825	177715425	Trichomonas vaginalis
G000002845	32071511	Leishmania braziliensis
G000002855	34007051	Aspergillus niger
G000002875	32123561	Leishmania infantum
G000002945	12591311	Schizosaccharomyces pombe
G000003125	35701823	Talaromyces stipitatus
G000003225	8358265	Theileria annulata
G000003515	22350618	Uncinocarpus reesii
G000003835	12115052	Clavispora lusitaniae
G000003855	75406772	Blastomyces gilchristii
G000004155	11555344	Schizosaccharomyces cryophilus
G000004695	34205773	Dictyostelium discoideum
G000004825	32971026	Heterostelium album
G000004985	40979745	Naegleria gruberi
G000005825	4249288	Bacillus pseudofirmus
G000005845	4641652	Escherichia coli
G000006175	1936387	Methanococcus voltae
G000006275	36898944	Aspergillus flavus
G000006335	14630599	Candida tropicalis
G000006355	23462447	Plasmodium knowlesi
G000006405	86962994	Perkinsus marinus
G000006425	8771990	Cryptosporidium hominis
G000006445	12182088	Debaryomyces hansenii
G000006515	9246911	Cryptosporidium muris
G000006565	65713380	Toxoplasma gondii
G000006605	2476842	Corynebacterium jeikeium
G000006685	1080471	Chlamydia muridarum
G000006725	2731790	Xylella fastidiosa
G000006765	6264404	Pseudomonas aeruginosa
G000006805	2571050	Halobacterium salinarum
G000006925	4828840	Shigella flexneri
G000006945	4951403	Salmonella enterica
G000006985	2154946	Chlorobaculum tepidum
G000007025	1268755	Rickettsia conorii
G000007065	4096345	Methanosarcina mazei
G000007085	2689445	Caldanaerobacter subterraneus
G000007125	3294951	Brucella melitensis
G000007145	5076188	Xanthomonas campestris
G000007185	1694969	Methanopyrus kandleri
G000007205	1225935	Chlamydia pneumoniae
G000007225	2222430	Pyrobaculum aerophilum
G000007305	1908256	Pyrococcus furiosus
G000007345	5751492	Methanosarcina acetivorans
G000007485	927303	Tropheryma whipplei
G000007505	3315195	Brucella suis
G000007605	1181376	Chlamydia caviae
G000007625	2873353	Clostridium tetani
G000007705	4751080	Chromobacterium violaceum
G000007745	2314078	[Mannheimia] succiniciproducens
G000007765	2032827	Coxiella burnetii
G000007805	6538300	Pseudomonas syringae group genomosp. 3
G000007865	4829781	Mycobacterium avium
G000007905	1799146	Helicobacter hepaticus
G000007925	1751080	Prochlorococcus marinus
G000007945	1698955	[Haemophilus] ducreyi
G000007985	3814128	Geobacter sulfurreducens
G000008025	1267782	Wolbachia endosymbiont of Drosophila melanogaster
G000008045	1111496	Rickettsia typhi
G000008065	1992676	Lactobacillus johnsonii
G000008185	2843201	Treponema denticola
G000008205	897405	Mycoplasma hyopneumoniae
G000008265	1545895	Picrophilus torridus
G000008305	793224	Mesoplasma florum
G000008325	3304561	Methylococcus capsulatus
G000008345	2560265	Cutibacterium acnes
G000008365	777079	Mycoplasma mobile
G000008385	1080084	Wolbachia endosymbiont of Brugia malayi
G000008445	5503966	Bacillus anthracis
G000008465	2839318	Idiomarina loihiensis
G000008625	1590811	Aquifex aeolicus
G000008645	1751377	Methanothermobacter thermautotrophicus
G000008665	2178400	Archaeoglobus fulgidus
G000008725	1042519	Chlamydia trachomatis
G000008865	5594645	Escherichia coli
G000008885	703024	Wigglesworthia glossinidia
G000009045	4215606	Bacillus subtilis
G000009085	1641481	Campylobacter jejuni
G000009125	5810942	Ralstonia solanacearum
G000009145	2812094	Nitrosomonas europaea
G000009165	5420232	Xanthomonas euvesicatoria
G000009305	1557608	Helicobacter acinonychis
G000009365	3120143	Alcanivorax borkumensis
G000009405	2566424	Staphylococcus carnosus
G000009485	8055842	Burkholderia cenocepacia
G000009545	1852352	Streptococcus uberis
G000009625	7596337	Mesorhizobium japonicum
G000009765	9119915	Streptomyces avermitilis
G000009825	4303871	Bacillus clausii
G000009865	2697921	Staphylococcus haemolyticus
G000009905	3566135	Symbiobacterium thermophilum
G000009945	1173811	Chlamydia felis
G000009965	2088737	Thermococcus kodakarensis
G000009985	4967148	Magnetospirillum magneticum
G000010065	2696255	Synechococcus elongatus
G000010085	4292562	Sodalis glossinidius
G000010125	2577939	Staphylococcus saprophyticus
G000010145	2098685	Lactobacillus fermentum
G000010165	6296436	Brevibacillus brevis
G000010185	1986760	Finegoldia magna
G000010285	2697540	Kocuria rhizophila
G000010305	4636964	Gemmatimonas aurantiaca
G000010405	1022154	Candidatus Vesicomyosocius okutanii
G000010425	2089645	Bifidobacterium adolescentis
G000010505	2354886	Porphyromonas gingivalis
G000010525	5369772	Azorhizobium caulinodans
G000010585	2219897	Macrococcus caseolyticus
G000010605	8545929	Streptomyces griseus
G000010625	5842795	Microcystis aeruginosa
G000010665	5315660	Desulfovibrio magneticus
G000010785	1743135	Hydrogenobacter thermophilus
G000010805	8835039	Rhodococcus opacus
G000010825	3340369	Acetobacter pasteurianus
G000010985	2542953	Deferribacter desulfuricans
G000011005	2957635	Methanocella paludicola
G000011025	2264603	Rothia mucilaginosa
G000011065	6293419	Bacteroides thetaiotaomicron
G000011085	4274802	Haloarcula marismortui
G000011105	1738505	Pyrococcus horikoshii
G000011125	1669696	Aeropyrum pernix
G000011185	1584804	Thermoplasma volcanium
G000011205	2694756	Sulfurisphaera tokodaii
G000011225	1358633	Mycoplasma penetrans
G000011245	3630528	Oceanobacillus iheyensis
G000011305	3219545	Corynebacterium efficiens
G000011345	2593857	Thermosynechococcus elongatus
G000011385	4659019	Gloeobacter violaceus
G000011645	4222597	Bacillus licheniformis
G000011705	5835547	Burkholderia mallei
G000011805	4273758	Aliivibrio fischeri
G000011905	1469720	Dehalococcoides mccartyi
G000011965	4601068	Ruegeria pomeroyi
G000012085	1165525	Borrelia turicatae
G000012125	1051989	Chlamydia trachomatis
G000012145	1587280	Rickettsia felis
G000012225	724050	Aster yellows witches'-broom phytoplasma
G000012285	2225959	Sulfolobus acidocaldarius
G000012305	2650701	Psychrobacter arcticus
G000012325	5373180	Colwellia psychrerythraea
G000012365	6723992	Burkholderia thailandensis
G000012385	1522076	Rickettsia bellii
G000012405	3642249	Thermobifida fusca
G000012425	4501104	Dechloromonas aromatica
G000012485	2364842	Pelodictyon luteolum
G000012545	1767403	Methanosphaera stadtmanae
G000012565	1315030	Ehrlichia canis
G000012585	2572079	Chlorobium chlorochromatii
G000012605	2427734	Hydrogenovibrio crunogenus
G000012665	3730232	Desulfovibrio alaskensis
G000012685	9139763	Myxococcus xanthus
G000012725	3402093	Nitrobacter winogradskyi
G000012745	2909809	Thiobacillus denitrificans
G000012765	1010023	Mycoplasma capricolum
G000012805	3522131	Nitrosococcus oceani
G000012825	5163189	Bacteroides vulgatus
G000012845	4811379	Parabacteroides distasonis
G000012865	2401520	Carboxydothermus hydrogenoformans
G000012885	3665893	Pelobacter carbinolicus
G000012925	4011202	Geobacter metallireducens
G000012945	8676317	Burkholderia lata
G000012965	2201561	Sulfurimonas denitrificans
G000012985	7215267	Hahella chejuensis
G000013025	3705021	Hyphomonas neptunium
G000013045	3587348	Salinibacter ruber
G000013085	4406577	Rhodospirillum rubrum
G000013125	1471282	Anaplasma phagocytophilum
G000013145	1176248	Ehrlichia chaffeensis
G000013165	859006	Neorickettsia sennetsu
G000013285	3256683	Clostridium perfringens
G000013325	4233354	Novosphingobium aromaticivorans
G000013345	5433628	Frankia casuarinae
G000013405	3179300	Syntrophus aciditrophicus
G000013425	2821361	Staphylococcus aureus
G000013445	3544738	Methanospirillum hungatei
G000013605	4969804	Rhodoferax ferrireducens
G000013645	9731178	Paraburkholderia xenovorans
G000013665	5057531	Saccharophagus degradans
G000013705	2971517	Methylobacillus flagellatus
G000013725	2575032	Methanococcoides burtonii
G000013745	5513844	Rhodopseudomonas palustris
G000013765	4545906	Shewanella denitrificans
G000013885	5011582	Nitrobacter hamburgensis
G000013905	3101117	Psychrobacter cryohalolentis
G000013945	3931802	Leptospira borgpetersenii
G000013985	3373733	Sphingopyxis alaskensis
G000014025	2341251	Arcobacter butzleri
G000014045	4331314	Roseobacter denitrificans
G000014125	2547720	Clostridium novyi
G000014145	4433218	Cytophaga hutchinsonii
G000014185	3225748	Rubrobacter xylanophilus
G000014225	5187005	Pseudoalteromonas atlantica
G000014265	7750108	Trichodesmium erythraeum
G000014285	2708434	Granulibacter bethesdensis
G000014345	1159772	Rickettsia canadensis
G000014385	1780517	Oenococcus oeni
G000014425	1894360	Lactobacillus gasseri
G000014445	2075783	Leuconostoc mesenteroides
G000014465	2340268	Lactobacillus brevis
G000014505	1832387	Pediococcus pentosaceus
G000014565	9702797	Rhodococcus jostii
G000014705	4845257	Shewanella frigidimarina
G000014725	2936195	Syntrophomonas wolfei
G000014745	3368780	Maricaulis maris
G000014765	2781864	Nitrosomonas eutropha
G000014785	3275944	Alkalilimnicola ehrlichii
G000014805	4744448	Aeromonas hydrophila
G000014865	4719581	Magnetococcus marinus
G000014885	5396476	Shewanella piezotolerans
G000014925	5226688	Paenarthrobacter aurescens
G000014965	4990251	Syntrophobacter fumaroxidans
G000015025	2443540	Acidothermus cellulolyticus
G000015045	4241159	Pelobacter propionicus
G000015125	3133902	Chlorobium phaeobacteroides
G000015145	1667163	Hyperthermus butylicus
G000015205	1826402	Pyrobaculum islandicum
G000015225	1813413	Thermofilum pendens
G000015245	4306142	Shewanella amazonensis
G000015285	4559598	Psychromonas ingrahamii
G000015305	6491865	Mycolicibacterium vanbaalenii
G000015325	5352772	Acidovorax citrulli
G000015345	1389350	Dichelobacter nodosus
G000015445	1445021	Bartonella bacilliformis
G000015505	5366303	Polaromonas naphthalenivorans
G000015565	5597963	Verminephrobacter eiseniae
